date,monthly_volume_m3,count_m3
2011-01-31,6401658.06562496,1
2011-03-31,6537181.137617122,2
2011-08-31,6926441.425624959,2
2011-09-30,7284830.06562496,2
2011-10-31,7870455.648125759,3
2011-11-30,7796228.07999936,48
2011-12-31,8057949.145819682,4
2012-01-31,7821537.76,2
2012-02-28,7847384.16,2
2012-03-31,8769043.36,2
2012-04-30,8409696.16,7
2012-05-31,8628553.872032,2
2012-06-30,9292286.33601568,3
2012-07-31,9132330.607998047,3
2012-08-31,9418977.535996161,2
2012-09-30,9514123.535996161,2
2012-10-31,10020596.16,4
2012-11-30,9637706.56,1
2012-12-31,10044703.52,3
2013-01-31,10811160.846251203,3
2013-02-28,9597893.7075008,1
2013-03-31,10885108.427500801,5
2013-04-30,11263798.667500801,21
2013-05-31,11980648.267500801,1
2013-06-30,11479632.907500802,11
2013-07-31,12705075.467500802,5
2013-08-31,12774449.7075008,4
2013-09-30,12870251.7875008,4
2013-10-31,13171023.147500802,7
2013-11-30,13218973.1175008,20
2013-12-31,13373621.547500802,15
2014-01-31,13994163.182735201,14
2014-02-28,12530197.742696162,32
2014-03-31,14670602.73789136,47
2014-04-30,14691176.177891359,55
2014-05-31,15062359.02269616,37
2014-06-30,14492365.902696159,52
2014-07-31,15255504.427500801,38
2014-08-31,15833596.1075008,47
2014-09-30,15841776.747500801,57
2014-10-31,16428549.8675008,59
2014-11-30,15746414.667500801,73
2014-12-31,16331580.785899198,66
2015-01-31,14669517.385,82
2015-02-28,13562725.2637504,59
2015-03-31,15230200.4162496,82
2015-04-30,14447185.4881248,78
2015-05-31,14401627.2162496,63
2015-06-30,13349722.32,97
2015-07-31,13706928.223750401,67
2015-08-31,13627872.0,66
2015-09-30,13051206.64,55
2015-10-31,13114786.9281248,61
2015-11-30,11996117.793441601,85
2015-12-31,11506798.9281248,82
2016-01-31,12005981.647998048,116
2016-02-28,10979744.108798834,80
2016-03-31,10886910.447998047,59
2016-04-30,9912310.246401358,58
2016-05-31,9758875.849599618,37
2016-06-30,9379760.806401359,47
2016-07-31,9405465.875200193,40
2016-08-31,9303978.142402338,31
2016-09-30,8838246.87840088,57
2016-10-31,9143559.743999023,46
2016-11-30,8842468.860800784,30
2016-12-31,8633445.878398433,27
2017-01-31,8526915.408002863,23
2017-02-28,8019866.390395568,12
2017-03-31,8723453.915197207,22
2017-04-30,8506483.472000122,28
2017-05-31,8478045.737597665,26
2017-06-30,8258498.43359864,14
2017-07-31,8232137.55839352,19
2017-08-31,8037865.012797857,27
2017-09-30,7800035.761596688,20
2017-10-31,8050801.31680176,18
2017-11-30,7781635.249594799,20
2017-12-31,7922510.596793951,22
2018-01-31,7259420.262402338,10
2018-02-28,6619310.16159912,17
2018-03-31,7481097.857600097,15
2018-04-30,7164904.795200193,26
2018-05-31,7291768.785599117,9
2018-06-30,6969235.500798801,12
2018-07-31,6852165.17440184,19
2018-08-31,7005597.0943994075,6
2018-09-30,6680897.275200193,9
2018-10-31,6673398.854399407,3
2018-11-30,6529993.148798832,6
2018-12-31,6572541.974399407,9
2019-01-31,6526417.92,4
2019-02-28,5770222.5600000005,5
2019-03-31,6362272.640000001,2
2019-04-30,6198345.12,1
2019-05-31,6075663.2,5
2019-06-30,5820141.92,2
2019-07-31,6383096.0,9
2019-08-31,6255332.8,4
2019-09-30,6502775.84,2
2019-10-31,6232204.32,3
2019-11-30,5977077.76,6
2019-12-31,6119426.24,3
2020-01-31,6588722.08,2
2020-03-31,5544126.88,2
2020-04-30,4675757.12,3
2020-05-31,4349399.2,3
2020-06-30,4192795.68,5
2020-07-31,4323055.04,1
2020-08-31,4190332.8000000003,5
2020-09-30,4158392.3200000003,1
2020-10-31,4076937.6,4
2020-12-31,4167114.24,2
